"//table[@name=""conditions""]/column[@name=""id""][text()=1]/../column[@name=""strName""]",Ace of Hearts,红心a
"//table[@name=""conditions""]/column[@name=""id""][text()=1]/../column[@name=""strDesc""]",Ace of hearts has been used.,红心a已被使用。
"//table[@name=""conditions""]/column[@name=""id""][text()=2]/../column[@name=""strName""]",Ace of Diamonds,方块A
"//table[@name=""conditions""]/column[@name=""id""][text()=2]/../column[@name=""strDesc""]",Ace of diamonds has been used.,方块a已被使用。
"//table[@name=""conditions""]/column[@name=""id""][text()=3]/../column[@name=""strName""]",Ace of Clubs,梅花A
"//table[@name=""conditions""]/column[@name=""id""][text()=3]/../column[@name=""strDesc""]",Ace of clubs has been used.,梅花a已被使用。
"//table[@name=""conditions""]/column[@name=""id""][text()=4]/../column[@name=""strName""]",Ace of Spades,黑桃A
"//table[@name=""conditions""]/column[@name=""id""][text()=4]/../column[@name=""strDesc""]",Ace of spades has been used.,黑桃a已被使用。
"//table[@name=""conditions""]/column[@name=""id""][text()=5]/../column[@name=""strName""]",Two of Hearts,红心二
"//table[@name=""conditions""]/column[@name=""id""][text()=5]/../column[@name=""strDesc""]",Two of hearts has been used.,已经用了两颗红心。
"//table[@name=""conditions""]/column[@name=""id""][text()=6]/../column[@name=""strName""]",Two of Diamonds,两颗钻石
"//table[@name=""conditions""]/column[@name=""id""][text()=6]/../column[@name=""strDesc""]",Two of diamonds has been used.,已经使用了两颗钻石。
"//table[@name=""conditions""]/column[@name=""id""][text()=7]/../column[@name=""strName""]",Two of Clubs,两个俱乐部
"//table[@name=""conditions""]/column[@name=""id""][text()=7]/../column[@name=""strDesc""]",Two of clubs has been used.,已经使用了两个球杆。
"//table[@name=""conditions""]/column[@name=""id""][text()=8]/../column[@name=""strName""]",Two of Spades,黑桃二
"//table[@name=""conditions""]/column[@name=""id""][text()=8]/../column[@name=""strDesc""]",Two of spades has been used.,已经用了两把黑桃。
"//table[@name=""conditions""]/column[@name=""id""][text()=9]/../column[@name=""strName""]",Three of Hearts,红心三
"//table[@name=""conditions""]/column[@name=""id""][text()=9]/../column[@name=""strDesc""]",Three of hearts has been used.,红心三已经用过了。
